,date,coupon_rate_year,rate_from_nominal,payment
0,26.02.2014 ,7,3.356,33.56
1,27.08.2014 ,7,3.49,34.9
2,25.02.2015 ,7,3.49,34.9
3,26.08.2015 ,7,3.49,34.9
4,24.02.2016 ,7,3.49,34.9
5,24.08.2016 ,7,3.49,34.9
6,22.02.2017 ,7,3.49,34.9
7,23.08.2017 ,7,3.49,34.9
8,21.02.2018 ,7,3.49,34.9
9,22.08.2018 ,7,3.49,34.9
10,20.02.2019 ,7,3.49,34.9
11,21.08.2019 ,7,3.49,34.9
12,19.02.2020 ,7,3.49,34.9
13,19.08.2020 ,7,3.49,34.9
14,17.02.2021 ,7,3.49,34.9
15,18.08.2021 ,7,3.49,34.9
16,16.02.2022 ,7,3.49,34.9
17,17.08.2022 ,7,3.49,34.9
18,15.02.2023 ,7,3.49,34.9
19,16.08.2023 ,7,103.49,1034.9
